SMILES,Docked_SMILES,Score
C1=CC=C2C(=C1)C=CN3C2=NC(=N3)C4=CC=C(C=C4)Cl,Clc1ccc(-c2nc3c4ccccc4ccn3n2)cc1,-8.3
CC(C)(C(=O)OC(COC(=O)C1=CN=CC=C1)COC(=O)C2=CN=CC=C2)OC3=CC=C(C=C3)Cl,CC(C)(Oc1ccc(Cl)cc1)C(=O)OC(COC(=O)c1cccnc1)COC(=O)c1cccnc1,-7.5
CC#CCC(C)[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1C/C(=C\CCCC(=O)O)/C2)O)O,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C\CCCC(=O)O)C[C@H]2C[C@H]1O,-7.3
CC1=C(C(=NC(=N1)N)N)C23CC4CC(C2)CC(C4)C3,Cc1nc(N)nc(N)c1C12CC3CC(CC(C3)C1)C2,-6.8
C1=CC=C2C(=C1)C3=C(C=N2)C(=O)N(N3)C4=CC=C(C=C4)Cl,O=c1c2cnc3ccccc3c2[nH]n1-c1ccc(Cl)cc1,-8.1
CCCCCOC(=O)C1=CC=C(C=C1)OS(=O)(=O)N,CCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,-7.5
CN(C)CCCN1C=C(C(=N1)C2=CC=CC=C2)C3=CC=CC=C3,CN(C)CCCn1cc(-c2ccccc2)c(-c2ccccc2)n1,-7.6
CC(C)CN(C)C1=CC=CC=C1CS(=O)C2=NC3=CC=CC=C3N2,CC(C)CN(C)c1ccccc1CS(=O)c1nc2ccccc2[nH]1,-7.8
CCN1CCC2=C3C1CC=C(N3C4=CC=CC=C24)C(=O)OC,CCN1CCc2c3n(c4ccccc24)C(C(=O)OC)=CCC31,-7.3
C1CN(CCN1CCOCC(=O)O)C(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,O=C(O)COCCN1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,-9.2
C[C@H](CSC(=O)[C@@H](C)NC(=O)C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)O,C[C@H](CSC(=O)[C@@H](C)NC(=O)C1CCCCC1)C(=O)N1CCC[C@H]1C(=O)O,-7.7
CC(C)C[C@H]1[C@H](OC(=O)N1CCCN2CCCCCC2)C3=CC=CC=C3,CC(C)C[C@H]1[C@@H](c2ccccc2)OC(=O)N1CCCN1CCCCCC1,-7
CC1=C(C(=O)C=CO1)OC(=O)C2=CC=CC=C2OC(=O)C,CC(=O)Oc1ccccc1C(=O)Oc1c(C)occc1=O,-6.8
CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)CO)O,COc1ccc(CC(C)NCC(O)c2ccc(O)c(CO)c2)cc1,-8.4
CCCC[C@H](C)C[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CC(=O)CCCCC(=O)OC)O)O,CCCC[C@H](C)C[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CC(=O)CCCCC(=O)OC,-6.7
C1=CC=C(C(=C1)C(=O)O)NC2=C(C=CC(=C2)Cl)C(=O)O,O=C(O)c1ccccc1Nc1cc(Cl)ccc1C(=O)O,-7.4
CC1=NOC=C1C(=O)NC2=NC(=C(C=C2)C3=CC=CC=C3OC(F)(F)F)N,Cc1nocc1C(=O)Nc1ccc(-c2ccccc2OC(F)(F)F)c(N)n1,-8.8
CC1=C(C=CC(=C1)[C@]2(C(=O)N(C(=N2)N)C)C3=CC(=C(C=C3)F)C4=C(N=CC=C4)F)OC,COc1ccc([C@]2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc1C,-9.5
CCO[C@H](CC1=CC(=CC=C1)/C(=N\OCC2=CC=C(C=C2)Br)/C)C(=O)O,CCO[C@H](Cc1cccc(/C(C)=N\OCc2ccc(Br)cc2)c1)C(=O)O,-7.8
C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)C3=CC=CC=C3)CC(=O)C4=CC=C(C=C4)C5=CC=CC=C5,C[N+]1(CC(=O)c2ccc(-c3ccccc3)cc2)[C@@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,-8.3
COC(CN1CCN(CC1)CCC(C2=CC=CC=C2)O)C3=CC=CC=C3,COC(CN1CCN(CCC(O)c2ccccc2)CC1)c1ccccc1,-7.3
C1CN(CCN1CCNC(=O)N)C2=CC=CC(=C2)C(F)(F)F,NC(=O)NCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,-8.9
C1CN(CCN1CCNC(=O)C2=CC=C(C=C2)F)C3=C4C(=CC=C3)O[C@@H](CO4)CO,O=C(NCCN1CCN(c2cccc3c2OC[C@@H](CO)O3)CC1)c1ccc(F)cc1,-8.4
CCC(C)C(C1=CC=CC=C1)C(=O)OCC[N+](C)(CC)CC,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1,-6.5
COC(=O)CCC=C=CCC1C(C(CC1=O)O)C=CC(COC2=CC=CC=C2)O,COC(=O)CCC=C=CCC1C(=O)CC(O)C1C=CC(O)COc1ccccc1,-7.7
C1=CC=C(C=C1)CC(C2=CC=CC=C2)NC(=O)C3=CN=CC=C3,O=C(NC(Cc1ccccc1)c1ccccc1)c1cccnc1,-8
