SMILES,Docked_SMILES,Score
CC(C)N(C(=O)C1CCCC[C@H]1C(=O)N[C@H]2CC(=O)OC2O)NC(=O)C3=CC4=CC=CC=C4C=C3,CC(C)N(NC(=O)c1ccc2ccccc2c1)C(=O)C1CCCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O,-9.4
C1CC1N2C=C(N=N2)C(=O)NC3CN(C3)CC4=CN(N=C4)CC5=CC=C(C=C5)Cl,O=C(NC1CN(Cc2cnn(Cc3ccc(Cl)cc3)c2)C1)c1cn(C2CC2)nn1,-8.0
C1CN(CCN1CCO)C2C(C3=CC=CC4=C3C2=CC=C4)NS(=O)(=O)C5=CC=CC=C5,O=S(=O)(NC1c2cccc3cccc(c23)C1N1CCN(CCO)CC1)c1ccccc1,-9.3
CC1=NN(C=C1NC2=C3C(=NC(=N2)N4CC(C(C4)F)NC(=O)C=C)N(C=N3)C(C)C)C,C=CC(=O)NC1CN(c2nc(Nc3cn(C)nc3C)c3ncn(C(C)C)c3n2)CC1F,-8.5
CC1=C(C=CC(=C1)NC(=O)C2CCCN(C2)S(=O)(=O)C3=CN=CN3)Br,Cc1cc(NC(=O)C2CCCN(S(=O)(=O)c3cnc[nH]3)C2)ccc1Br,-7.9
CC1CN(CC(O1)C)S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=NN=C(O3)C4=CC(=CC=C4)OC,COc1cccc(-c2nnc(NC(=O)c3ccc(S(=O)(=O)N4CC(C)OC(C)C4)cc3)o2)c1,-9.4
COC1=C(C=C(C=C1)CNC2=NC(=NC=C2C(=O)NCC3=NC=CC=N3)N4CCC[C@@H]4CO)Cl,COc1ccc(CNc2nc(N3CCC[C@@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,-8.4
CC1=C2C(=O)C=C(OC2=C(C=C1)N3CCN(CC3)C)C(=O)NC4=CC=C(C=C4)N5CCOCC5,Cc1ccc(N2CCN(C)CC2)c2oc(C(=O)Nc3ccc(N4CCOCC4)cc3)cc(=O)c12,-9.6
C1CC1S(=O)(=O)C2=CC=C(C=C2)C(CC3CCOCC3)C(=O)NC4=NC=CN=C4,O=C(Nc1cnccn1)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,-8.0
COC1=CC=C(C=C1)OCCCC(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCOCC3,COc1ccc(OCCCC(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)cc1,-7.7
